Timestamp,Interface,Mbps,Latency,Jitter,Loss
14:53:06,Standard Slice (1 Mbps),0.002,0.047,0.002,0.0
14:53:12,Video Slice (10 Mbps),0.0,0.207,0.094,0.0
14:53:12,Standard Slice (1 Mbps),0.002,0.049,0.0,0.0
14:53:18,Video Slice (10 Mbps),0.0,0.047,0.004,0.0
14:53:18,Standard Slice (1 Mbps),0.002,0.051,0.0,0.0
14:53:23,Video Slice (10 Mbps),0.0,0.078,0.04,0.0
14:53:23,Standard Slice (1 Mbps),0.002,0.053,0.002,0.0
14:53:28,Video Slice (10 Mbps),0.0,0.054,0.005,0.0
14:53:28,Standard Slice (1 Mbps),0.002,0.049,0.004,0.0
14:53:34,Video Slice (10 Mbps),0.0,0.049,0.006,0.0
14:53:34,Standard Slice (1 Mbps),0.002,0.053,0.007,0.0
14:53:36,Standard Slice (1 Mbps),0.051,0.046,0.003,0.0
14:53:38,Standard Slice (1 Mbps),0.317,0.12,0.098,0.0
14:53:39,Standard Slice (1 Mbps),0.329,0.044,0.004,0.0
14:53:41,Standard Slice (1 Mbps),0.22,0.048,0.001,0.0
14:53:42,Standard Slice (1 Mbps),0.232,0.054,0.011,0.0
14:53:44,Standard Slice (1 Mbps),0.486,3.156,4.398,0.0
14:53:45,Standard Slice (1 Mbps),0.498,0.182,0.187,0.0
14:53:47,Standard Slice (1 Mbps),0.123,0.045,0.004,0.0
14:53:48,Standard Slice (1 Mbps),0.583,0.051,0.003,0.0
14:53:50,Standard Slice (1 Mbps),0.668,0.086,0.047,0.0
14:53:51,Standard Slice (1 Mbps),0.522,0.064,0.023,0.0
14:53:53,Standard Slice (1 Mbps),0.244,0.041,0.005,0.0
14:53:54,Standard Slice (1 Mbps),0.813,0.058,0.015,0.0
14:53:56,Standard Slice (1 Mbps),0.789,0.045,0.0,0.0
14:53:57,Standard Slice (1 Mbps),0.365,0.049,0.009,0.0
14:53:59,Standard Slice (1 Mbps),0.728,0.043,0.008,0.0
14:54:00,Standard Slice (1 Mbps),0.958,0.045,0.005,0.0
14:54:02,Standard Slice (1 Mbps),0.946,0.051,0.004,0.0
14:54:03,Standard Slice (1 Mbps),0.196,0.061,0.028,0.0
14:54:05,Standard Slice (1 Mbps),1.176,0.047,0.003,0.0
14:54:06,Standard Slice (1 Mbps),1.139,0.049,0.004,0.0
14:54:08,Standard Slice (1 Mbps),0.559,0.206,0.143,0.0
14:54:09,Standard Slice (1 Mbps),0.801,0.119,0.053,0.0
14:54:11,Standard Slice (1 Mbps),1.333,0.044,0.003,0.0
14:54:12,Standard Slice (1 Mbps),1.285,0.125,0.112,0.0
14:54:14,Standard Slice (1 Mbps),0.172,7.44,4.683,0.0
14:54:15,Standard Slice (1 Mbps),1.442,3.771,5.268,0.0
14:54:17,Standard Slice (1 Mbps),1.454,0.878,1.172,0.0
14:54:18,Standard Slice (1 Mbps),0.946,0.129,0.114,0.0
14:54:20,Standard Slice (1 Mbps),0.728,105.7,15.875,0.0
14:54:21,Standard Slice (1 Mbps),1.563,259.029,10.685,0.0
14:54:23,Standard Slice (1 Mbps),1.768,314.445,73.046,0.0
14:54:25,Standard Slice (1 Mbps),0.81,80.391,38.904,0.0
14:54:26,Standard Slice (1 Mbps),1.563,408.294,36.465,0.0
14:54:28,Standard Slice (1 Mbps),1.998,777.666,25.672,0.0
14:54:30,Standard Slice (1 Mbps),1.996,57.711,46.361,0.0
14:54:32,Standard Slice (1 Mbps),1.48,537.935,54.363,0.0
14:54:34,Standard Slice (1 Mbps),2.095,969.776,135.816,0.0
14:54:37,Standard Slice (1 Mbps),2.288,511.676,4.504,0.0
14:54:39,Standard Slice (1 Mbps),1.381,85.148,68.152,0.0
14:54:40,Standard Slice (1 Mbps),1.563,816.507,76.27,0.0
14:54:43,Standard Slice (1 Mbps),2.482,820.983,106.326,0.0
14:54:45,Standard Slice (1 Mbps),2.172,749.43,14.728,0.0
14:54:47,Standard Slice (1 Mbps),1.72,387.446,82.941,0.0
